##### 2 threads 1 core ####

ubuntu@client-measure-l85z:~/memcache-perf-dynamic$ ./mcperf -s 10.156.15.223 -a 10.156.15.221 --noload -T 16 -C 4 -D 4 -Q 1000 -c 4 -t 5 --scan 5000:120000:5000
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
1652987046.09 5.6 91.4 4.4 4.7
1652987047.09 8.6 93.9 1.2 5.6
1652987048.09 6.2 66.0 2.2 4.3
1652987049.1 1.0 0.0 2.0 2.0
1652987050.1 3.4 51.5 1.1 1.1
1652987051.1 4.8 99.0 2.2 4.5
1652987052.1 9.5 100.0 4.3 5.8
1652987053.1 3.7 99.0 2.2 6.8
1652987054.1 3.8 100.0 3.3 4.6
1652987055.1 6.5 48.5 5.2 3.3
1652987056.1 0.0 0.0 0.0 0.0
1652987057.11 9.0 68.4 4.4 2.2
1652987058.11 14.3 98.0 7.1 3.4
1652987059.11 15.6 99.0 7.2 4.5
1652987060.11 6.7 100.0 5.9 3.4
1652987061.11 14.1 94.1 5.8 7.7
1652987062.11 4.4 26.3 3.1 4.0
1652987063.11 2.0 0.0 1.0 0.0
1652987064.12 9.0 96.0 2.2 3.4
1652987065.12 12.9 99.0 4.3 4.9
1652987066.12 11.3 98.0 1.1 2.4
1652987067.12 13.2 100.0 1.1 4.6
1652987068.12 7.8 100.0 3.3 5.7
1652987069.12 3.9 4.0 2.0 2.0
1652987070.12 0.0 0.0 1.0 1.0
1652987071.13 1.0 0.0 0.0 0.0
1652987072.13 1.0 0.0 1.0 2.0
1652987073.13 0.0 1.0 2.0 0.0
1652987074.13 1.0 2.0 1.0 1.0
1652987075.13 2.0 1.0 1.0 1.0
1652987076.13 0.0 0.0 0.0 1.0

### 2 threads 2 cores ###

ubuntu@client-measure-l85z:~/memcache-perf-dynamic$ ./mcperf -s 10.156.15.223 -a 10.156.15.221 --noload -T 16 -C 4 -D 4 -Q 1000 -c 4 -t 5 --scan 5000:120000:5000
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      273.1   304.8    86.8   160.8   178.3   254.3   276.4   290.2   299.7   314.0   335.9   387.0   589.7  4821.3 11303.1   4962.0     5000  1652987642978  1652987648359
read      291.1   229.8    86.8   151.7   172.1   284.6   315.8   332.4   343.6   359.5   379.6   422.8   583.4  2570.3  9875.8   9986.8    10000  1652987649863  1652987655208
read      297.0   296.4    80.4   141.9   162.0   287.1   329.5   350.1   364.9   382.1   403.8   448.1   623.8  3176.2  9869.7  15028.4    15000  1652987656711  1652987662003
read      300.3   176.4    86.8   140.2   160.2   294.2   341.3   364.7   380.7   398.9   423.7   465.5   611.5  2272.9  8883.1  19889.2    20000  1652987663507  1652987668815
read      305.3   191.5    80.4   138.6   158.1   297.3   350.2   376.2   394.0   414.2   439.1   486.8   631.3  1535.6  8506.6  24971.2    25000  1652987670318  1652987675611
read      319.8   303.2    80.4   140.0   160.3   303.5   361.0   390.3   410.6   435.0   468.7   530.3   734.2  2867.8  9070.6  30014.2    30000  1652987677114  1652987682399
read      313.0   195.8    80.4   139.5   159.7   301.0   356.2   385.6   405.7   430.6   463.7   521.2   690.0  1369.9  7886.8  34837.0    35000  1652987683902  1652987689189
read      306.7   232.4    74.4   139.1   158.2   288.4   347.0   378.4   400.2   426.5   459.1   508.7   671.8  1694.5  7080.3  39801.2    40000  1652987690692  1652987696007
read      303.8   167.1    74.4   137.0   155.3   286.9   345.2   377.3   399.3   426.4   461.8   519.1   681.9  1246.1  7062.4  44977.8    45000  1652987697510  1652987702789
read      316.9   164.9    80.4   140.5   160.8   301.7   360.5   392.3   415.3   443.2   480.2   541.7   707.5  1422.3  5391.4  50098.4    50000  1652987704291  1652987709568
read      300.2   198.0    80.4   135.6   153.4   282.2   339.4   370.5   393.2   420.0   454.7   507.7   668.1  1661.5  6287.9  55029.0    55000  1652987711070  1652987716356
read      300.0   177.6    80.4   135.2   153.5   286.5   341.8   371.7   393.6   419.3   452.2   502.7   635.0  1678.2  6805.9  59998.4    60000  1652987717859  1652987723144
read      306.5   225.1    74.4   138.0   156.5   288.2   346.8   379.0   401.7   429.6   464.3   519.7   669.0  1796.7  7799.6  64758.6    65000  1652987724646  1652987729932
read      297.3   192.7    80.4   136.8   154.4   278.2   335.7   367.2   390.3   417.7   453.2   506.7   660.2  1503.2  5761.6  69986.6    70000  1652987731434  1652987736709
read      290.6   165.1    74.4   132.2   149.2   272.7   331.2   362.6   385.3   412.4   447.9   501.5   632.8  1388.8  6054.4  75098.8    75000  1652987738213  1652987743493
read      283.9   199.1    74.4   129.1   145.3   263.3   321.8   354.2   377.1   403.9   437.7   489.0   622.7  1482.5  7020.7  79694.2    80000  1652987744996  1652987750275
