ubuntu@client-measure-n717:~/memcache-perf-dynamic$ ./mcperf -s 10.156.0.7 -a 10.156.0.11 --noload -T 16 -C 4 -D 4 -Q 1000 -c 4 -t 1800 --qps_interval 10 --qps_min 5000 --qps_max 100000 --qps_seed 4
Random waveform, supplied seed
Total number of intervals = 180 (5002, 54986, 7130, 84290, 17452, 88208, 22877, 72971, 73135, 75186, 55733, 12378, 35768, 18138, 25316, 16286, 70039, 7925, 55700, 30401, 68647, 75977, 38812, 73569, 41545, 15233, 39948, 63492, 68082, 81456, 65924, 9635, 9732, 23037, 94715, 34730, 55405, 7436, 96598, 48830, 98879, 93373, 89615, 6275, 62579, 32621, 55023, 56191, 13630, 75839, 11268, 91542, 95358, 14465, 46522, 68275, 94880, 61112, 65501, 28015, 63771, 6718, 11191, 31233, 94928, 97715, 11135, 39480, 80154, 33026, 5268, 55976, 15291, 67253, 16304, 86493, 77575, 24032, 9375, 12678, 34572, 52641, 11030, 76616, 49936, 54228, 94769, 90660, 99798, 57659, 93618, 26403, 43387, 10044, 39624, 41474, 66593, 39775, 12340, 67852, 19176, 87812, 19141, 72767, 63416, 32230, 24915, 17561, 18091, 99427, 83040, 99355, 25742, 58482, 52445, 39976, 65714, 85849, 86593, 54564, 39577, 14343, 6139, 67434, 15213, 84735, 76404, 96170, 73743, 30666, 57058, 62785, 62130, 73914, 56612, 57338, 99906, 61065, 38132, 41320, 39242, 83059, 26336, 61300, 93660, 65334, 58894, 29662, 5808, 95639, 86335, 85220, 52894, 80911, 31316, 54124, 53152, 62479, 51223, 25168, 99184, 91048, 57941, 82238, 15783, 62638, 72072, 58970, 80048, 65921, 54854, 56548, 40027, 66638, 32005, 48830, 6161, 56344, 17598, 83020)
Average QPS expected = 52310
Timestamp start: 1653223294365
Timestamp end: 1653225094808

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      666.9  1049.7   101.3   228.9   257.3   382.6   467.9   594.1   843.7  1229.3  1512.1  1746.9  3896.0 10446.8 32431.1  99859.5    99798
read      521.7   782.0    86.8   174.5   199.6   350.0   458.7   546.1   632.7   762.6   964.9  1277.2  3364.4  7745.2 31542.4  57676.8    57659
read      659.6   715.2    86.8   206.3   235.7   394.7   582.3   853.1  1054.7  1315.7  1510.3  1710.3  2637.8  6370.4 29534.8  93722.4    93618
read      531.4   889.6    93.8   171.8   194.8   370.1   492.6   587.7   661.3   746.0   890.4  1088.5  3605.2  9725.3 32260.6  26455.8    26403
read      556.5   883.7    86.8   171.3   196.1   360.9   485.0   590.5   690.8   831.9  1000.2  1296.2  3841.2  8492.7 31775.8  43269.4    43387
read      535.3  1529.4   101.3   163.9   187.8   344.7   425.8   470.3   502.9   542.9   604.4   849.5  4725.9 30448.3 37125.1  10041.0    10044
read      536.5   858.1    93.8   167.4   191.4   353.9   473.8   574.2   671.3   805.8   978.2  1223.7  3666.8  7991.7 35692.8  39547.8    39624
read      554.5  1016.5    86.8   157.6   180.8   346.1   470.6   578.5   680.1   818.1   995.8  1271.8  4138.2 10753.6 32360.1  41449.7    41474
read      498.3   643.9    80.4   158.4   180.8   327.8   441.9   541.1   641.4   795.0   993.7  1322.7  2727.1  5938.5 25654.1  66516.6    66593
read      550.3   947.7    86.8   164.0   187.9   353.8   478.3   585.4   685.9   814.5   975.4  1231.5  3869.6 10262.5 31969.6  39789.6    39775
read      510.1  1195.8    93.8   166.4   190.4   360.1   452.2   503.4   539.7   584.3   651.2   846.6  3839.8 18347.8 36002.7  12385.6    12340
read      533.2   783.8    86.8   175.5   201.5   356.3   465.9   559.0   650.6   793.2  1005.1  1343.6  3345.9  7777.2 31643.4  67928.2    67852
read      556.4  1259.9    86.8   168.6   191.2   373.6   485.5   560.7   610.3   667.6   751.7   992.9  4428.4 18576.9 36238.3  19084.6    19176
read      635.4   681.6    86.8   204.0   233.8   405.5   595.2   782.0   944.8  1099.6  1389.1  1693.5  2617.0  6158.4 29032.8  87732.8    87812
read      546.8  1329.4    93.8   166.2   189.0   361.0   468.6   544.9   597.6   655.3   733.3   938.0  4495.6 21896.5 35770.3  19166.3    19141
read      524.3   701.9    93.8   180.3   206.4   359.0   468.6   565.6   659.2   797.6   990.6  1298.8  2799.1  7097.7 30542.9  72792.0    72767
read      552.9   913.1    86.8   167.2   192.4   347.0   460.2   561.0   663.3   823.5  1045.9  1405.9  3813.7  8204.4 32004.5  63278.7    63416
read      580.0  1239.4    86.8   154.6   176.6   352.3   484.0   592.4   684.7   802.1   938.9  1225.9  4944.9 17132.0 34472.1  32278.6    32230
read      563.7  1239.5    93.8   170.0   192.7   372.9   491.9   580.6   643.6   710.9   821.4  1043.6  4270.8 16102.4 35387.5  24954.4    24915
read      560.7  1415.3    93.8   169.4   193.1   368.2   470.6   538.0   582.7   633.4   701.1   917.7  5028.3 27510.3 37135.7  17552.6    17561
read      538.9  1211.0   101.3   166.8   190.2   367.5   476.5   550.1   597.3   648.8   721.7   934.4  4501.9 16434.4 35964.3  18122.5    18091
read      695.5   903.0    93.8   233.8   264.6   409.0   545.3   808.4  1069.1  1382.0  1552.3  1743.1  2863.0  8804.5 31843.0  99552.2    99427
read      587.4   633.1    93.8   199.2   227.6   397.6   572.2   722.9   849.3   989.3  1141.5  1471.9  2345.6  5706.6 30101.6  83090.4    83040
read      677.3   955.3   101.3   227.7   257.1   391.9   501.6   707.7   972.7  1293.7  1523.6  1743.4  3236.1 10467.0 31915.8  99259.3    99355
