ubuntu@client-measure-n717:~/memcache-perf-dynamic$ ./mcperf -s 10.156.0.7 -a 10.156.0.11 --noload -T 16 -C 4 -D 4 -Q 1000 -c 4 -t 1800 --qps_interval 10 --qps_min 5000 --qps_max 100000
Random waveform, random seed
Total number of intervals = 180 (50783, 39334, 11704, 13217, 75230, 28448, 28988, 82222, 29396, 99875, 24697, 69929, 44960, 38123, 78095, 17568, 41823, 42512, 23141, 32683, 38369, 40567, 14614, 95602, 20335, 89958, 70467, 65953, 9849, 95563, 38627, 6021, 64263, 21182, 79129, 11022, 50253, 70683, 82622, 94543, 84637, 53338, 53322, 54773, 38466, 44650, 42288, 57201, 75440, 50345, 88301, 66222, 63785, 60290, 35250, 57942, 90046, 42224, 25728, 99151, 19900, 12634, 67395, 31900, 84248, 59988, 81394, 69182, 45705, 10126, 94405, 53864, 58289, 27492, 10410, 18881, 75960, 43651, 71951, 27041, 27250, 31562, 20842, 70370, 46143, 62383, 57184, 87177, 87451, 26882, 17048, 56770, 65460, 83135, 70782, 40148, 97439, 20736, 82346, 18236, 67160, 70381, 47969, 63563, 27195, 54053, 88666, 18140, 74533, 99967, 49432, 48604, 99568, 84118, 70954, 84736, 7175, 85621, 56082, 84388, 48418, 9502, 47752, 28718, 8084, 63411, 50790, 69421, 61379, 86617, 67843, 43812, 32468, 48505, 44918, 79870, 17927, 92636, 49918, 49232, 12367, 38953, 58110, 57611, 34518, 99075, 70435, 96418, 69794, 63629, 5567, 49976, 62558, 56198, 44475, 46522, 57822, 67352, 55865, 50091, 11428, 30785, 63696, 91084, 9556, 14419, 35420, 61034, 83011, 75470, 69400, 95046, 85504, 88559, 25391, 41479, 45136, 45505, 78886, 8741)
Average QPS expected = 53277
Timestamp start: 1653230722566
Timestamp end: 1653232522968

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      471.9   975.5    86.8   149.1   168.1   352.0   463.6   548.4   607.5   672.3   749.5   872.8  1704.7 13932.8 35142.8  18911.0    18881
read      403.4   483.5    80.4   162.1   184.8   326.8   405.0   455.6   494.3   545.5   623.7   834.3  1621.3  5022.4 17480.6  75962.5    75960
read      461.5   600.4    86.8   149.2   168.5   317.5   435.5   527.0   629.2   784.7   971.4  1190.7  1679.1  6289.0 30364.5  43547.4    43651
read      411.4   445.2    80.4   160.2   182.1   323.6   408.1   464.3   509.4   573.2   669.3   945.0  1671.1  4783.7 15630.3  72026.8    71951
read      470.7   837.0    86.8   149.8   169.3   346.1   467.7   566.3   648.7   734.2   833.3   975.7  1467.1 11920.4 31982.1  27026.8    27041
read      470.9   818.6    86.8   148.0   167.2   343.9   467.0   567.3   652.5   740.3   839.0   982.9  1603.1 11255.4 31762.3  27086.6    27250
read      456.9   573.5    86.8   147.6   166.9   330.7   458.5   559.9   662.7   774.8   893.6  1045.6  1534.2  7637.1 28917.0  31611.2    31562
read      463.5   888.2    93.8   148.6   168.1   353.9   465.6   553.2   616.6   679.0   752.7   871.5  1649.2 10385.3 32296.9  20813.0    20842
read      402.0   430.8    86.8   157.9   179.9   319.9   403.9   459.4   501.9   559.5   644.8   892.1  1610.9  4421.2 12715.8  70345.0    70370
read      443.7   414.1    86.8   149.6   168.9   314.4   427.1   513.0   603.6   753.7   953.5  1189.3  1614.8  3391.4  9710.8  46136.7    46143
read      431.2   411.2    86.8   152.3   172.5   310.1   404.9   477.0   543.1   648.0   848.0  1210.4  1808.7  3450.1  9636.6  62419.6    62383
read      445.5   432.6    86.8   152.6   172.7   314.2   416.6   496.7   573.6   708.4   930.4  1257.5  1786.4  3410.9 10195.6  57191.3    57184
read      376.9   345.8    86.8   170.4   194.1   333.1   399.5   439.6   469.2   507.2   562.0   654.6  1152.5  3784.1 10250.3  87104.0    87177
read      375.6   424.9    86.8   165.9   189.6   330.3   399.1   439.5   469.5   507.0   559.7   647.3  1090.2  4576.9 16766.9  87368.7    87451
read      473.4   837.0    86.8   150.4   169.9   347.2   469.7   567.5   652.8   739.2   839.1   987.6  1563.7 13405.6 32107.3  26787.3    26882
read      466.4   990.0    86.8   150.1   169.6   353.6   457.8   533.0   582.7   636.5   702.7   821.1  1903.3 15070.9 32213.3  17066.6    17048
read      444.1   438.6    86.8   150.2   169.5   307.3   407.9   489.6   570.1   713.6   957.3  1301.7  1794.0  3133.5  9713.1  56687.2    56770
read      439.3   438.5    80.4   151.1   170.6   305.0   401.2   476.7   549.4   675.1   902.4  1287.0  1919.1  3337.9 11242.4  65472.7    65460
read      378.4   386.5    86.8   163.8   187.1   328.5   397.7   439.4   470.3   510.2   569.1   669.1  1341.9  4406.5 12838.9  83055.2    83135
read      397.4   457.2    86.8   159.5   181.8   325.4   406.3   458.2   497.6   547.9   622.2   786.6  1524.7  5421.3 14979.2  70692.1    70782
read      451.7   475.6    86.8   148.3   167.4   321.2   440.3   533.4   631.0   775.0   941.3  1151.4  1609.2  4703.1 14435.5  40076.9    40148
read      392.6   394.2    80.4   171.2   196.0   339.1   403.7   444.0   474.6   515.4   576.1   710.3  1543.9  4416.5 14277.3  97353.4    97439
read      474.1   939.6    86.8   147.9   167.2   352.6   464.5   547.8   610.7   678.1   763.3   903.9  2038.0 14729.7 32301.6  20771.8    20736
read      378.2   392.1    86.8   163.6   187.2   328.8   399.3   441.8   473.5   514.6   572.0   673.1  1205.5  4398.0 14455.8  82388.0    82346
read      470.0   990.0    86.8   149.8   168.8   356.2   461.7   538.5   593.0   652.2   724.8   845.4  1878.3 13442.3 32863.0  18218.7    18236
read      429.9   479.7    86.8   153.8   174.8   315.6   408.7   475.5   532.3   616.1   781.0  1136.6  1834.9  4587.4 13656.9  67049.4    67160
read      404.5   461.1    80.4   158.2   180.2   321.0   404.2   459.0   501.5   557.5   639.6   872.1  1665.9  5228.1 13843.2  70229.7    70381
read      440.7   429.6    86.8   147.3   166.0   307.6   415.9   498.9   584.0   730.5   950.6  1225.9  1662.5  3887.0 12170.8  48131.0    47969
read      437.8   429.0    86.8   149.6   168.7   301.2   396.8   475.2   552.3   685.0   928.1  1302.6  1842.9  3488.0 11171.1  63447.4    63563
read      469.8   719.8    86.8   147.7   166.6   342.1   472.6   580.9   666.1   756.0   855.5  1004.9  1595.9 11129.5 30746.4  27185.8    27195
read      446.9   448.8    86.8   149.9   169.5   311.3   415.0   497.7   581.2   725.2   952.0  1268.7  1772.6  3746.2 10865.1  54030.2    54053
read      389.1   498.8    86.8   168.2   191.9   333.3   401.3   443.1   473.8   514.6   572.4   681.6  1479.7  5055.3 23476.7  88579.3    88666
read      467.0   827.7    93.8   150.9   170.4   361.2   474.6   550.3   605.1   666.7   745.6   894.7  1845.3 10361.9 32396.8  18063.4    18140
read      418.3   533.8    86.8   164.3   188.4   337.3   418.1   469.1   508.8   561.8   636.3   840.8  1754.6  5963.9 28616.9  74387.3    74533
read      387.7   406.5    86.8   177.1   202.4   348.8   413.7   451.7   479.6   515.4   567.1   660.7  1033.7  4563.5 13282.3 100034.6    99967
read      461.3   552.9    86.8   150.0   169.9   318.0   429.4   514.8   603.6   757.5   983.7  1269.3  1791.0  5409.0 22618.0  49365.0    49432
read      459.5   491.6    86.8   149.3   169.0   317.8   430.7   519.9   612.6   761.2   973.0  1249.7  1796.5  4682.1 11064.7  48404.8    48604
read      406.2   424.7    86.8   176.8   202.2   350.3   419.7   461.6   494.8   537.0   597.9   734.7  1564.3  4521.9 15966.3  99521.4    99568
read      373.6   395.9    80.4   163.9   187.1   327.5   397.5   439.5   470.4   509.7   563.8   652.0  1077.6  4571.7 15513.3  84048.3    84118
read      387.3   402.1    86.8   158.9   181.4   322.9   402.6   454.0   492.7   540.7   606.9   747.6  1477.9  4006.8  9951.6  70984.1    70954
read      369.8   373.2    80.4   163.6   186.7   325.8   395.4   436.3   467.2   505.4   559.2   645.3  1044.6  3948.4 12887.4  84771.6    84736
read      436.2  1188.0    93.8   161.5   184.3   318.4   380.2   416.8   443.5   474.4   520.4   614.7  2889.0 21565.4 35685.5   7208.6     7175
read      384.6   381.7    86.8   166.9   190.5   331.2   401.6   445.4   478.1   519.8   579.3   689.1  1387.5  4455.9 11353.0  85420.3    85621
read      447.7   429.7    86.8   151.8   172.0   314.7   418.9   499.8   578.3   715.7   944.1  1262.2  1794.4  3514.0 11929.2  56168.5    56082
read      382.5   399.1    86.8   165.4   188.6   327.6   398.0   440.9   472.3   514.4   573.9   682.4  1420.5  5006.2 11289.5  84314.6    84388
read      448.3   448.2    86.8   148.6   167.8   312.3   423.1   511.5   606.5   754.0   960.7  1229.9  1695.3  3956.3 13324.9  48290.1    48418
read      460.0  1285.6    93.8   154.7   175.8   335.2   411.9   461.4   495.9   538.6   596.4   702.3  2709.9 28821.6 34184.3   9447.9     9502
read      455.4   511.7    86.8   149.0   168.0   313.2   424.6   511.0   600.0   759.7   982.8  1246.3  1735.3  5136.8 14182.2  47746.8    47752
read      472.3   774.8    86.8   147.5   167.4   340.8   465.0   566.0   654.9   747.3   857.3  1012.8  1708.4 11172.6 31218.9  28671.8    28718
read      451.2  1291.7    93.8   158.3   181.7   328.2   393.2   431.7   460.8   495.4   541.5   636.6  2959.5 28992.2 35421.9   8053.0     8084
read      448.4   471.4    86.8   154.3   175.4   318.4   419.2   497.8   571.6   684.3   893.6  1238.2  1853.1  4473.9 12020.8  63355.0    63411
read      466.8   615.9    86.8   148.0   167.3   315.4   427.1   516.6   613.0   773.1   989.6  1279.6  1803.2  6856.3 28800.0  50842.8    50790
read      427.0   437.8    86.8   154.6   175.9   316.6   408.2   474.0   532.9   618.5   780.9  1116.5  1816.7  3980.1 12895.1  69216.3    69421
read      455.9   548.6    86.8   153.1   173.7   317.3   418.0   493.6   563.0   675.1   895.7  1291.3  2005.6  5319.1 18546.5  61453.4    61379
read      385.8   417.2    86.8   166.0   190.1   331.9   400.9   443.1   474.1   515.3   572.8   678.6  1527.2  4386.0 15382.3  86626.8    86617
read      408.1   484.6    86.8   157.2   179.4   321.9   407.3   463.2   506.7   564.3   647.6   898.5  1656.5  5361.6 15736.2  67772.3    67843
read      470.7   731.4    86.8   147.6   167.0   317.1   433.7   528.1   633.0   787.9   971.3  1204.4  1741.4  7695.7 31904.3  43748.2    43812
read      471.2   728.5    86.8   146.7   166.1   332.0   461.3   569.9   670.1   776.3   893.9  1060.6  1602.6  8770.7 31439.3  32510.2    32468
read      467.4   709.9    86.8   146.9   165.5   307.6   417.7   503.0   597.2   768.4  1006.4  1276.9  1831.3  7845.8 30987.8  48452.0    48505
read      470.7   665.4    86.8   146.7   165.9   314.3   434.0   531.9   639.4   802.3   992.0  1236.2  1742.4  7761.1 29991.7  44995.4    44918
read      388.4   437.3    86.8   160.9   183.7   324.2   398.1   444.4   480.3   528.3   594.7   746.9  1530.2  4165.1 17627.1  80017.5    79870
read      471.4  1075.0    86.8   146.0   165.3   347.3   451.4   525.1   577.0   632.1   702.2   823.8  2275.7 16595.2 35551.1  17975.6    17927
read      394.7   444.6    80.4   169.6   193.7   336.5   405.1   447.0   478.4   519.4   578.2   698.2  1616.8  5024.7 13833.3  92808.7    92636
read      466.1   669.8    86.8   147.5   166.9   311.6   421.5   507.1   596.2   749.2   982.4  1285.9  1881.9  7275.6 30364.6  49995.3    49918
read      467.7   609.1    86.8   146.8   166.1   312.3   427.2   519.1   619.6   783.0  1002.6  1270.4  1813.4  7321.9 18870.1  49147.3    49232
read      451.2  1145.3    93.8   148.4   169.2   338.2   423.6   476.0   511.7   551.0   605.3   704.0  2285.5 15863.0 34243.6  12339.2    12367
read      460.0   561.2    86.8   146.3   165.9   323.0   448.1   547.1   657.6   798.9   949.7  1146.3  1591.3  6340.5 27844.9  39038.1    38953
read      459.0   583.7    86.8   147.5   166.7   305.1   407.4   491.3   574.5   724.4   984.6  1344.2  1910.7  6372.3 18473.5  58246.7    58110
read      459.5   538.4    86.8   148.6   168.1   309.9   415.6   500.9   588.1   734.4   980.0  1327.8  1906.1  6043.2 15762.2  57529.0    57611
read      483.6   814.0    86.8   154.2   176.5   352.3   466.9   553.8   643.6   755.7   890.8  1077.7  1666.7 10851.1 32121.7  34524.9    34518
read      393.2   401.6    86.8   181.3   207.4   340.8   401.0   439.2   469.6   508.7   566.3   684.6  1555.4  4413.3 11910.2  99264.4    99075
read      411.3   435.2    86.8   160.6   183.4   323.7   405.7   463.5   509.5   571.6   671.7   944.6  1691.4  4643.3 12676.6  70500.0    70435
read      368.1   383.3    86.8   168.5   192.5   328.8   391.3   428.4   457.6   494.3   544.2   632.8   992.5  3905.1 14325.4  96232.8    96418
read      432.0   477.0    86.8   158.4   180.7   325.9   416.7   481.0   536.4   614.2   758.6  1074.1  1817.5  4808.4 14938.8  69791.6    69794
read      457.6   454.5    86.8   163.0   187.0   335.8   435.2   511.5   582.0   689.8   872.5  1202.0  1862.0  4050.7 13273.5  63538.6    63629
read      433.2  1039.6   101.3   189.6   215.4   349.1   396.0   423.5   445.2   472.3   515.8   597.2  1974.4 14753.4 32358.8   5579.2     5567
